address,score,amount,category
io1fkl00u78pcdl220my4szzp3wz3tf67s7qegdh8,100,847864793827544192,earlybird
io16y9wk2xnwurvtgmd2mds2gcdfe2lmzad6dcw29,50,423932396913772096,earlybird
io1etxedntsc3ql08u9xat8xcey4sxe9zd0lze25j,50,423932396913772096,earlybird
io1akxkzjakpl7kawxs9z8u0ljmatncvvst9wexk6,50,423932396913772096,earlybird
io16rxjeq93qq53s6u7ptxfaejzk4h47dyj536drg,50,423932396913772096,earlybird
io10s5ffnr2zlctkv8ueup2ftqej5jg8uh7n2cx7s,100,847864793827544192,earlybird
io1yfymptak4uxzmg5ag6nyw9zwum5ffacqflntjr,130,1102224231975807488,earlybird
io1pvmvuklq0h9zlm47qlhpfl4h65grwehtde6ce9,100,847864793827544192,earlybird
io1zv3v0szfa56d7k4kupvgn6f3xuz9tdcugdet70,50,423932396913772096,earlybird
io1wuywdcrh8yutg2sl95ac7cz2x7gzctvfamr7vp,50,423932396913772096,earlybird
io1zqqf3dsvxr0mdlrrxgsq356qnne3lmua2wynen,50,423932396913772096,earlybird
io1nrusmxggfqwn63c6g05kl6f392hg2yrdjq8rcz,50,423932396913772096,earlybird
io19sqecr9mwraul5pjgxq9d7g2y7qzu3azvdmvgz,100,847864793827544192,earlybird
io1sqwspcujplmcvaeuy4r95948jdgwmja6yp2r8w,50,423932396913772096,earlybird
io1u0hn7f0hep9e8mfn2ctdutprr320apd87s5hd3,50,423932396913772096,earlybird
io1ar4yr7rmh5m950k8vm34439vr449uas2plhqwy,50,423932396913772096,earlybird
io12dan7hx7nmneswqp02afxgyw3xu45nnl8ztvu9,50,423932396913772096,earlybird
io1847vjwajnfdqf92fh83tv0825u2qtju2eurfxp,50,423932396913772096,earlybird
io1d2eypmykmx3jccar0h6w22dnlxvfq70uw8yzux,50,423932396913772096,earlybird
io1qp5jwv0h6lw3gx64ufg0cpp40xkhhjgzj0j69c,50,423932396913772096,earlybird
io1gzhfe5w0qxc9a0dz6wsgjpjyjmkv2gazk8crds,100,847864793827544192,earlybird
io1uh2zk2eqqqz5k0kcd3g9schkhsc4gu4a4eat2k,50,423932396913772096,earlybird
io1y29mdjp735rk0mf59hfn8hda2kkjz73a6z5cj6,50,423932396913772096,earlybird
io1xvywprafq0z2w3g94xp9sdts79maca9szwv9as,50,423932396913772096,earlybird
io16nca47f9ky3ks6vhyz4krvr74uxkk3nu42m00v,50,423932396913772096,earlybird
io13mf9mjzutqk6qlj7q7ze35y0t8a4l209ydff9d,105,890258033518921472,earlybird
io1zvcyzjdm39jf5vpmuur5pqr2jnyzjxgelsuep5,100,847864793827544192,earlybird
io1rlkepky0xa5tufhxyrdhl2968chnnarrxfl584,50,423932396913772096,earlybird
io1fu9cfcaxs0jpz02069z7l9ap9n5m7d705jc8x5,50,423932396913772096,earlybird
io1vyf2k4ullye9tpje5pw2twvh2wl69nlnxq0znc,50,423932396913772096,earlybird
io10xt6hw2a352vprk2q8rff63k4q76pz04cr8z9m,50,423932396913772096,earlybird
io1c96hlvjj5wtn4mcqlja6tgj8cs8nct7maq2xh2,50,423932396913772096,earlybird
io1chjzxxeqc997gevyhfz4h48jhm5jsx0dsj2e0a,100,847864793827544192,earlybird
io1czt5mxy9s5wecrnd38xdmp58ryhmj2qr2q365g,50,423932396913772096,earlybird
io1el6g5tzxwa5k3vrmpawqnyrfcm3z9khxlusrgw,50,423932396913772096,earlybird
io12gxafrtxv0h37u6arj72hesy8fnpau98l5l4wu,50,423932396913772096,earlybird
io18vyudd638gnk3xj0xe2ky4uzg0nlhvzyypemvw,50,423932396913772096,earlybird
io1jdn7lk79nk45a38a0cyf34zwuvcf3r778c6v9r,50,423932396913772096,earlybird
io177kzmr6gh85xx2uf0ygg3wdd9w4f2r4p27jxda,50,423932396913772096,earlybird
io1jrf8nexh8x3u5cwvrtg8c4enrt7sq8lp9g5evf,100,847864793827544192,earlybird
io1v3murthh9jvd25xm9fdt86v7mwgkchj6423a4m,50,423932396913772096,earlybird
io1679wr5vqpvgpskpz0pslqm5sm93h7enewwn5ck,50,423932396913772096,earlybird
io1526cpyl2x3g4jk3fl88jy4ke05vqjvkc3ldn5q,100,847864793827544192,earlybird
io1qvjw8g9rwy6evkksf2mevtr3c2un93e9xw87zc,50,423932396913772096,earlybird
io1telsdddgegtrm0mwn52p8y8hvwyazqkzq85qfw,100,847864793827544192,earlybird
io1a33l0qlvmvlkyvvskemcs9ppvkh7ur95c5xlrw,50,423932396913772096,earlybird
io1fd9dauurawq0pk9rjqulhv9zzccf6m9fl2h6s9,50,423932396913772096,earlybird
io15m3fdw5c0dyk3fqekat3v7hc7vtk0rsjntwd2l,50,423932396913772096,earlybird
io1m6m085dgpgd0a0qn3eu6qjceqtmf6cr6aq0rhg,50,423932396913772096,earlybird
io1r9whylvxaqmx2uquh8v0e9cpr8qkwpuswdv9eg,50,423932396913772096,earlybird
io1nd9w9shra76r6nz4ldc4qpe77fhvmgeg3n5cpz,50,423932396913772096,earlybird
io19cvf37csvsys4rcl8z43q3dae2e2dhc4alxaus,50,423932396913772096,earlybird
io1f5yl53lw3cd822fp95twsku3z73z437kcefjch,50,423932396913772096,earlybird
io19hk33y8lvvj7xhp9lmj8xyaj90hchh6gkvdhke,50,423932396913772096,earlybird
io13ceu32r229r0kajhrykqphmw2rrnzcrj6qmf0t,50,423932396913772096,earlybird
io1hzfzuhrpuccv744slzqlz7fwak3kagre0xk8gh,50,423932396913772096,earlybird
io1uzulemcs7878u9tzw6lseekwz55g0h08w0gkta,100,847864793827544192,earlybird
io1l9ejlk5rpp2tp3pwxcm64vtgpckm5y94f3w7j3,100,847864793827544192,earlybird
io1c6tqxjl4dtlw6yjnvr6eqg00mfdcp8na3fd6ch,50,423932396913772096,earlybird
io1exx3vvgj4rc8wuexvu37sjkxuxgdfgrnd90zyz,50,423932396913772096,earlybird
io16hshl25srdgagrntvp5gtlx3pf2jp9klyq962x,50,423932396913772096,earlybird
io1806kvzzwxkrz3wyz8w0r6xv83350g4759qrjhx,50,423932396913772096,earlybird
io1tqv0paf4umn9af9mvxsydqcy2hxwcqwtn2m93p,50,423932396913772096,earlybird
io130fn0szhdrz2823x3g0nt0c9fegg5rq7hr7cd9,50,423932396913772096,earlybird
io1h6yde9d7lla77d09ya0vz6hgd3ejxt0wrd98wn,50,423932396913772096,earlybird
io1r66zttrn4npger6x3r9uvp2xztwwp947wdvjm6,50,423932396913772096,earlybird
io14x4s3gkj0atx5wn2kw6nq43f00jgld8dm40xqc,50,423932396913772096,earlybird
io10svs34yjv6aznxwyrvrmpz2uxwpp75aflkkhdq,50,423932396913772096,earlybird
io1mhpaz9eeutvsfg4zfe0mk5svah8etq7330lu6h,50,423932396913772096,earlybird
io1dvfjg5xxnzpydnmq2q0n0n0ham2arytkkvrr2h,100,847864793827544192,earlybird
io184wnn4vdvhckg6aa8ftl6t9duxzxq0y8quc5yk,50,423932396913772096,earlybird
io1v9wm265xr9vd89fjjga3c08lhh6p88k47gjmw2,50,423932396913772096,earlybird
io10rydyexj7sccy2ayp747tz4qslqsr2vzmf53h2,50,423932396913772096,earlybird
io1wgexduyfqz4ht8y2sn7ez3hfnxyphgqnuw3cuq,100,847864793827544192,earlybird
io1mz7hpkherhdn06l2q52g2tlaqxg2gzd8yastlt,100,847864793827544192,earlybird
io1k7w9mng20lu9vyd2phqsxqtcjdkptg567zdpda,50,423932396913772096,earlybird
io1xq37vrzuxm53qgkys3nd5ujmlaumm6ad05nrdn,50,423932396913772096,earlybird
io1mdqt8u4epavzzsdj76x06a6nf8d00zl7nj28dd,50,423932396913772096,earlybird
io1mnk3xpndhxfj0fq4vsagpruvg8hmkn2wfaum9g,50,423932396913772096,earlybird
io18pxsmvtj86gccdlw4hx4xdt64p9jlxzj6s2eta,50,423932396913772096,earlybird
